transaction_id,log_amount,rel_amount,band_9k,hr_country,offshore,cash,nonactive_status,days_since_prev_txn,same_day_txns,counterparty_novelty,intl_mismatch,score,anomaly,account_id,amount,flagged_by_rules
TXN000296,9.163770640819779,0.9895944095678967,1,0,0,1,0,1.0,1,1,0,0.438983,1,ACC00001,9543.98,1
TXN001355,9.18458041497637,1.0104055904321037,1,0,0,1,0,26.0,1,1,0,0.450004,1,ACC00001,9744.69,1
TXN000132,8.132001188147628,0.3526007754811504,0,1,0,0,0,5.0,1,1,0,0.480326,1,ACC00001,3400.6,1
TXN001024,12.051672376224719,17.770513985671382,0,0,0,0,0,25.0,1,1,0,0.455318,1,ACC00001,171384.79,0
TXN001012,9.401905739469647,1.255705033058267,0,0,0,0,0,3.0,1,1,0,0.357113,1,ACC00001,12110.44,0
TXN001599,8.249611741071458,0.39662039943656047,0,0,0,0,0,5.0,1,1,0,0.361768,1,ACC00001,3825.14,0
TXN000659,9.02711800957866,0.863183412853245,0,0,0,0,0,5.0,1,1,0,0.358256,1,ACC00001,8324.83,0
TXN000099,12.974415328097388,44.714017088788395,0,0,0,0,0,9.0,1,1,0,0.474457,1,ACC00001,431236.96,0
TXN000153,9.16364386457706,0.9894689473146673,1,0,0,0,0,3.0,1,1,0,0.459843,1,ACC00001,9542.77,0
TXN001549,9.240456300547427,1.0684759498710903,0,0,0,0,0,43.0,1,1,0,0.394199,1,ACC00001,10304.74,0
TXN000760,7.368333377143213,0.21340355216766296,0,1,0,0,0,1.0,2,1,1,0.515961,1,ACC00002,1583.99,1
TXN001173,12.899769799826835,50.0,0,0,1,0,0,0.0,2,1,0,0.558714,1,ACC00002,400219.05,0
TXN000336,8.211784255778507,0.4962081560011371,0,1,0,1,0,33.0,1,1,1,0.58639,1,ACC00002,3683.11,1
TXN000458,8.912407270132626,1.0,0,0,0,1,0,5.0,1,1,0,0.413537,1,ACC00002,7422.51,0
TXN000636,9.264209047221712,1.421683500594812,0,0,1,0,0,1.0,1,1,0,0.408571,1,ACC00002,10552.46,0
TXN000693,8.08915113112909,0.4389242991925912,0,0,0,0,0,90.0,1,1,0,0.472004,1,ACC00002,3257.92,0
TXN000054,9.168327043098873,1.2916883911237573,1,0,0,1,0,66.0,1,1,0,0.521628,1,ACC00002,9587.57,1
TXN001234,9.050896708995335,1.1485575634118377,0,0,0,1,0,90.0,1,1,0,0.520469,1,ACC00002,8525.18,1
TXN001402,8.34283504235536,0.5657089044002634,0,0,1,1,0,40.0,1,1,0,0.519327,1,ACC00002,4198.98,0
TXN000486,9.395393195463152,1.7803725491211573,0,0,0,0,0,1.0,10,1,0,0.391855,1,ACC00003,12031.82,0
TXN001116,9.462251733168294,1.903485258658767,0,0,0,0,0,0.0,10,1,0,0.375604,1,ACC00003,12863.82,0
TXN000931,7.788692370927823,0.35693215557480834,0,0,0,1,0,0.0,10,1,0,0.44406,1,ACC00003,2412.16,0
TXN001600,12.422398569547443,36.741506961712986,0,0,0,0,0,0.0,10,1,0,0.469475,1,ACC00003,248300.39,0
TXN000330,9.28096564370591,1.5878565293017868,0,0,0,0,0,0.0,10,1,0,0.371475,1,ACC00003,10730.79,0
TXN000504,8.47700016572028,0.7105645354011929,0,0,0,0,0,0.0,10,1,0,0.370347,1,ACC00003,4802.02,0
TXN001265,7.958241183130351,0.42290991390248794,0,1,0,1,0,0.0,10,1,1,0.578301,1,ACC00003,2858.04,1
TXN000220,9.187490285890837,1.4461437385275455,1,0,0,1,0,0.0,10,1,0,0.470549,1,ACC00003,9773.09,1
TXN001422,8.991855950042696,1.189156315408251,0,0,1,0,0,0.0,10,1,0,0.415983,1,ACC00003,8036.36,0
TXN001104,9.400457299098838,1.789412159007759,0,0,1,0,0,0.0,10,1,0,0.422619,1,ACC00003,12092.91,0
TXN000592,8.300541025397333,0.5955947253898508,0,0,0,0,0,25.0,1,1,0,0.373333,1,ACC00003,4025.05,0
TXN000273,8.574580579039688,0.7834126339979003,0,0,0,1,0,21.0,1,1,0,0.429786,1,ACC00003,5294.33,0
TXN000864,8.60898993359342,0.8108436845917489,0,0,0,0,0,3.0,1,1,0,0.357427,1,ACC00003,5479.71,0
TXN000558,9.009597785041013,1.2104450480058182,0,0,0,1,0,10.0,1,1,0,0.422758,1,ACC00003,8180.23,0
TXN001105,9.480251471922829,1.9380603977339568,0,0,0,0,0,2.0,1,1,0,0.36477,1,ACC00003,13097.48,0
TXN001556,8.567340529446545,0.7777601033436495,0,0,1,0,0,7.0,1,1,0,0.407411,1,ACC00003,5256.13,0
TXN001465,7.821386477430386,0.368799510508602,0,0,0,0,0,31.0,1,1,0,0.381339,1,ACC00003,2492.36,0
TXN001584,8.589011401206706,0.7948020393501958,0,0,1,1,0,5.0,1,1,0,0.476612,1,ACC00003,5371.3,0
TXN001574,8.590430641918768,0.6635951806991096,0,1,0,1,0,1.0,1,1,0,0.515689,1,ACC00004,5378.93,1
TXN000525,8.430455958663824,0.565474589611806,0,0,0,1,0,2.0,1,1,0,0.417042,1,ACC00004,4583.59,0
TXN001477,9.212345360642397,1.2360463079250013,0,0,1,0,0,17.0,1,1,0,0.416137,1,ACC00004,10019.07,0
TXN000362,9.605990133453732,1.8323422660978517,0,0,0,0,0,36.0,1,1,0,0.394889,1,ACC00004,14852.49,0
TXN000403,9.056024178452288,1.057153325914722,0,0,1,0,0,8.0,1,1,0,0.407065,1,ACC00004,8569.01,0
TXN001111,9.00045109342371,1.0,0,0,1,0,0,50.0,1,1,0,0.462219,1,ACC00004,8105.74,0
TXN000609,9.360106883940192,1.4328895326028221,0,1,0,0,0,2.0,1,1,1,0.498703,1,ACC00004,11614.63,1
TXN001020,7.471812617185019,0.2167340674633038,0,0,0,1,0,18.0,1,1,0,0.445777,1,ACC00004,1756.79,0
TXN000102,8.384358698757657,0.5399938808794755,0,0,0,0,0,30.0,1,1,0,0.379167,1,ACC00004,4377.05,0
TXN000853,9.44257368594114,1.3036298240899602,0,0,0,0,1,1.0,2,1,0,0.415832,1,ACC00005,12613.14,0
TXN001198,9.177445210271914,1.0,1,0,0,0,1,0.0,2,1,0,0.515016,1,ACC00005,9675.4,0
TXN000051,6.320282564792335,0.057334063707960396,0,0,1,0,1,49.0,1,1,0,0.543839,1,ACC00005,554.73,0
TXN000464,9.201644673742253,1.0244971784112284,1,0,0,1,1,5.0,1,1,0,0.499174,1,ACC00005,9912.42,1
TXN001370,7.838430062583128,0.2620274097194948,0,0,0,1,1,50.0,1,1,0,0.531563,1,ACC00005,2535.22,1
TXN001344,7.663421755916794,0.21994232796576887,0,0,0,1,1,37.0,1,1,0,0.513663,1,ACC00005,2128.03,0
TXN000640,7.989675696929894,0.3048287409306075,0,0,1,0,1,16.0,1,1,0,0.475814,1,ACC00005,2949.34,0
TXN001250,9.93558487757335,2.1344192488165867,0,0,0,0,1,2.0,1,1,0,0.426467,1,ACC00005,20651.36,0
TXN001456,9.554753141810268,1.4584006862765364,0,0,0,0,1,12.0,1,1,0,0.416615,1,ACC00005,14110.61,0
TXN000479,9.126131246826974,0.9499751948239866,1,0,0,0,1,2.0,1,1,0,0.523102,1,ACC00005,9191.39,0
TXN001128,9.084875783592068,0.9115767823552515,0,0,0,1,1,90.0,1,1,0,0.560182,1,ACC00005,8819.87,1
TXN001268,9.58842606126058,1.5083490088265084,0,0,1,0,1,90.0,1,1,0,0.57816,1,ACC00005,14593.88,0
TXN001282,12.767447228735175,36.23779068565641,0,0,1,0,1,2.0,1,1,0,0.570989,1,ACC00005,350615.12,0
TXN000148,8.657278559744453,0.6503073797719062,0,0,0,0,0,1.0,7,1,0,0.377997,1,ACC00006,5750.86,0
TXN001274,9.000700237762207,0.916825685448693,0,0,0,0,0,0.0,7,1,0,0.366424,1,ACC00006,8107.76,0
TXN000467,9.176557089168533,1.0931230949549913,1,0,0,1,0,0.0,7,1,0,0.448885,1,ACC00006,9666.81,1
TXN000129,9.167415125504743,1.0831743145513069,1,0,0,1,0,0.0,7,1,0,0.45211,1,ACC00006,9578.83,1
TXN000278,9.19188613519278,1.1100104655561076,1,0,0,1,0,0.0,7,1,0,0.449148,1,ACC00006,9816.15,1
